,,total_model_cost,total_model_cost,total_model_latency,total_model_latency,accuracy,accuracy,f1_score,f1_score
,,mean,std,mean,std,mean,std,mean,std
model,cost_weight,,,,,,,,
AHL,1,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,10,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,20,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,30,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,40,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,50,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,60,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,70,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,80,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,90,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,99,1927.9575,,219033896.2759,,0.311,,0.4744,
AWL,1,1246.1285,,2033856252.0915,,0.689,,0.0,
AWL,10,1246.1285,,2033856252.0915,,0.689,,0.0,
AWL,20,1246.1285,,2033856252.0915,,0.689,,0.0,
AWL,30,1246.1285,,2033856252.0915,,0.689,,0.0,
AWL,40,1246.1285,,2033856252.0915,,0.689,,0.0,
AWL,50,1246.1285,,2033856252.0915,,0.689,,0.0,
AWL,60,1246.1285,,2033856252.0915,,0.689,,0.0,
AWL,70,1246.1285,,2033856252.0915,,0.689,,0.0,
AWL,80,1246.1285,,2033856252.0915,,0.689,,0.0,
AWL,90,1246.1285,,2033856252.0915,,0.689,,0.0,
AWL,99,1246.1285,,2033856252.0915,,0.689,,0.0,
DCT,1,1278.954,,368247813.0132,,0.7572,,0.5986,
DCT,10,1265.9007,,351882430.2885,,0.7636,,0.5948,
DCT,20,1260.0461,,358728515.4583,,0.7663,,0.5925,
DCT,30,1257.4321,,332508241.8825,,0.7676,,0.5915,
DCT,40,1247.2946,,342474705.214,,0.7726,,0.5883,
DCT,50,1248.2508,,340531918.9031,,0.7708,,0.5832,
DCT,60,1244.8953,,373847244.3537,,0.7706,,0.5747,
DCT,70,1231.5303,,354845375.8596,,0.7731,,0.5514,
DCT,80,1226.0316,,351169107.8277,,0.7762,,0.5503,
DCT,90,1220.332,,352939019.6261,,0.7783,,0.5443,
DCT,99,1216.8216,,357090456.0823,,0.7773,,0.5293,
HV,1,1209.1207,,603465574.9195,,0.7732,,0.4818,
HV,10,1209.009,,601938967.4864,,0.7732,,0.4816,
HV,20,1208.5427,,603467846.5235,,0.7723,,0.475,
HV,30,1212.2712,,601246488.345,,0.7721,,0.4872,
HV,40,1208.8807,,599965927.5955,,0.7733,,0.4818,
HV,50,1208.9984,,602799099.3946,,0.7726,,0.4781,
