,,total_model_cost,total_model_cost,total_model_latency,total_model_latency,accuracy,accuracy,f1_score,f1_score
,,mean,std,mean,std,mean,std,mean,std
model,cost_weight,,,,,,,,
ABC,1,1365.3198,,648265059.2263,,0.2705,,0.4258,
ABC,10,1365.3198,,648265059.2263,,0.2705,,0.4258,
ABC,20,1365.3198,,648265059.2263,,0.2705,,0.4258,
ABC,30,1365.3198,,648265059.2263,,0.2705,,0.4258,
ABC,40,1365.3299,,650928880.8283,,0.2705,,0.4258,
ABC,50,820.9415,,975058908.2053,,0.8266,,0.6289,
ABC,60,835.6866,,2262730585.0094,,0.7477,,0.1363,
ABC,70,837.6366,,2981652474.7938,,0.7428,,0.1007,
ABC,80,840.8357,,3568739574.0883,,0.7347,,0.0388,
ABC,90,842.0586,,4776990905.5461,,0.732,,0.0187,
ABC,99,842.7272,,5069875052.3877,,0.7304,,0.0063,
AHL,1,1365.3198,,648265059.2263,,0.2705,,0.4258,
AHL,10,1365.3198,,648265059.2263,,0.2705,,0.4258,
AHL,20,1365.3198,,648265059.2263,,0.2705,,0.4258,
AHL,30,1365.3198,,648265059.2263,,0.2705,,0.4258,
AHL,40,1365.3198,,648265059.2263,,0.2705,,0.4258,
AHL,50,1365.3198,,648265059.2263,,0.2705,,0.4258,
AHL,60,1365.3198,,648265059.2263,,0.2705,,0.4258,
AHL,70,1365.3198,,648265059.2263,,0.2705,,0.4258,
AHL,80,1365.3198,,648265059.2263,,0.2705,,0.4258,
AHL,90,1365.3198,,648265059.2263,,0.2705,,0.4258,
AHL,99,1365.3198,,648265059.2263,,0.2705,,0.4258,
AWL,1,843.111,,6038747849.5124,,0.7295,,0.0,
AWL,10,843.111,,6038747849.5124,,0.7295,,0.0,
AWL,20,843.111,,6038747849.5124,,0.7295,,0.0,
AWL,30,843.111,,6038747849.5124,,0.7295,,0.0,
AWL,40,843.111,,6038747849.5124,,0.7295,,0.0,
AWL,50,843.111,,6038747849.5124,,0.7295,,0.0,
AWL,60,843.111,,6038747849.5124,,0.7295,,0.0,
AWL,70,843.111,,6038747849.5124,,0.7295,,0.0,
AWL,80,843.111,,6038747849.5124,,0.7295,,0.0,
AWL,90,843.111,,6038747849.5124,,0.7295,,0.0,
AWL,99,843.111,,6038747849.5124,,0.7295,,0.0,
DCT,1,844.4076,,1318361167.4776,,0.8037,,0.6112,
DCT,10,845.2723,,1142328151.9467,,0.8025,,0.6092,
DCT,20,838.7921,,1109700526.8613,,0.808,,0.61,
DCT,30,838.1916,,1096712123.1744,,0.8085,,0.61,
DCT,40,835.1506,,1341049282.799,,0.8104,,0.6073,
DCT,50,833.126,,1072745512.2154,,0.8118,,0.6065,
