,,total_model_cost,total_model_cost,total_model_latency,total_model_latency,accuracy,accuracy,f1_score,f1_score
,,mean,std,mean,std,mean,std,mean,std
model,cost_weight,,,,,,,,
ABC,1,1927.9575,,219033896.2759,,0.311,,0.4744,
ABC,10,1927.9575,,219033896.2759,,0.311,,0.4744,
ABC,20,1927.9575,,219033896.2759,,0.311,,0.4744,
ABC,30,1927.9575,,219033896.2759,,0.311,,0.4744,
ABC,40,1927.9676,,219142034.7256,,0.311,,0.4744,
ABC,50,1222.9405,,317557168.2658,,0.7946,,0.6072,
ABC,60,1254.1385,,942745827.5959,,0.6956,,0.0454,
ABC,70,1255.9257,,1497042628.8968,,0.6925,,0.0237,
ABC,80,1257.1526,,1488437351.8231,,0.6904,,0.0093,
ABC,90,1257.517,,1707103648.4208,,0.6898,,0.0053,
ABC,99,1257.7093,,1874980943.4337,,0.6895,,0.0032,
AHL,1,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,10,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,20,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,30,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,40,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,50,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,60,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,70,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,80,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,90,1927.9575,,219033896.2759,,0.311,,0.4744,
AHL,99,1927.9575,,219033896.2759,,0.311,,0.4744,
AWL,1,1258.0325,,2033856252.0915,,0.689,,0.0,
AWL,10,1258.0325,,2033856252.0915,,0.689,,0.0,
AWL,20,1258.0325,,2033856252.0915,,0.689,,0.0,
AWL,30,1258.0325,,2033856252.0915,,0.689,,0.0,
AWL,40,1258.0325,,2033856252.0915,,0.689,,0.0,
AWL,50,1258.0325,,2033856252.0915,,0.689,,0.0,
AWL,60,1258.0325,,2033856252.0915,,0.689,,0.0,
AWL,70,1258.0325,,2033856252.0915,,0.689,,0.0,
AWL,80,1258.0325,,2033856252.0915,,0.689,,0.0,
AWL,90,1258.0325,,2033856252.0915,,0.689,,0.0,
AWL,99,1258.0325,,2033856252.0915,,0.689,,0.0,
DCT,1,1284.7096,,379897713.9344,,0.7562,,0.5966,
DCT,10,1275.2291,,355709896.4374,,0.7609,,0.5935,
DCT,20,1267.7835,,337621732.6959,,0.7653,,0.5938,
DCT,30,1263.3337,,366036263.6935,,0.7671,,0.5906,
DCT,40,1253.9268,,364663811.7359,,0.772,,0.588,
DCT,50,1253.1026,,368664706.5397,,0.7716,,0.5844,
