NameSpace 39_2013 40_2013 41_2013 42_2013 43_2013 44_2013 45_2013 46_2013 47_2013 48_2013 49_2013 50_2013 51_2013 52_2013 00_2014 01_2014 02_2014 03_2014 04_2014 05_2014 06_2014 07_2014 08_2014 09_2014 10_2014 11_2014 12_2014 13_2014 14_2014 15_2014 16_2014 17_2014
0 72 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 3 11 15 16 3 0 23 0 0 2 16 0 0 0 0 12 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 47 6 10 34 5 3 22 9 15 3 11 29 12 0 1 16 26 3 23 3 2 0 12 22 7 42 5 39 9 6 13 4
3 1 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 54 34 30 45 89 37 58 82 50 26 40 43 10 0 25 39 15 19 28 14 7 79 35 9 16 15 53 27 12 10 10 18
5 398 499 785 595 492 284 423 394 429 421 1639 549 705 0 610 760 375 851 762 1153 517 90 633 445 265 1036 436 607 523 329 454 25
6 7 107 106 5 12 10 4 1 13 0 0 3 1 1 2 6 7 8 0 0 2 0 0 1 0 0 0 0 0 0 0 0
7 40 451 19 68 14 41 16 20 26 35 9 9 13 1 13 35 3 20 6 4 9 14 14 12 3 42 14 26 19 5 14 23
8 26 11 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 38 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 1 1 0 1 0 0
11 1 3 20 6 4 8 5 0 0 3 0 1 0 16 5 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
12 1 0 0 7 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13 1 9 4 7 0 2 14 3 0 2 1 2 0 0 0 2 0 0 0 0 0 2 3 18 2 0 3 4 0 0 0 0
14 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15 47 0 1 0 0 1 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 12 1 0 0 0
16 12 8 10 35 73 49 10 1 30 110 92 25 0 5 6 6 12 13 7 10 10 12 0 15 9 184 117 224 12 23 10 5
17 1 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 9 0 0 0 1 1 0 0 0
18 1 1 0 0 10 1 1 2 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0
19 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
