NameSpace 27_2013 28_2013 29_2013 30_2013 31_2013 32_2013 33_2013 34_2013 35_2013 36_2013 37_2013 38_2013 39_2013 40_2013 41_2013 42_2013 43_2013 44_2013 45_2013 46_2013 47_2013 48_2013 49_2013 50_2013 51_2013 52_2013 00_2014 01_2014 02_2014 03_2014 04_2014 05_2014 06_2014 07_2014 08_2014 09_2014 10_2014 11_2014 12_2014 13_2014 14_2014 15_2014 16_2014 17_2014 18_2014 19_2014 20_2014 21_2014
0 2 21 152 20 25 0 1 0 29 6 120 65 20 23 42 7 1 8 59 2 60 41 72 29 1 1 0 12 16 18 4 10 10 8 6 3 56 3 0 1 9 6 0 0 3 7 13 10
1 15 1 0 0 0 0 0 2 6 0 0 0 0 0 0 0 0 0 0 0 0 1 0 11 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 955 2241 3801 2361 39 0 311 1432 3568 4042 2398 2420 2771 3838 3641 2408 2339 3861 3079 2353 5628 5353 5288 2720 647 803 73 2282 3083 5241 5175 4044 4221 3414 3733 3251 2957 2994 2356 2885 3322 3628 2001 2120 5981 4135 3621 1843
3 399 82 106 215 5 0 3 22 11 0 0 63 249 361 493 589 166 51 4 4 41 30 47 113 13 0 0 6 52 37 35 142 15 58 19 46 26 25 5 41 10 36 10 0 12 28 0 0
4 15 9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2 2 17 9 3 0 1 3 2 32 7 1 1 0 0 5 1 30 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
6 3 22 51 37 27 2 0 5 91 65 13 8 108 23 18 32 11 28 49 7 59 21 36 36 3 1 2 32 84 49 24 25 5 61 71 60 59 49 34 60 52 41 1 7 51 89 95 29
7 1 8 8 3 9 0 0 2 9 8 3 2 5 9 2 16 13 13 10 0 12 3 2 13 6 1 0 2 11 8 0 0 0 15 32 19 45 11 1 0 0 0 0 0 0 0 0 0
8 29 104 23 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 46 450 214 26 12 0 5 23 30 1 61 20 108 285 224 180 27 86 35 22 56 87 306 93 0 7 5 127 531 342 693 372 31 234 102 123 444 65 653 365 431 200 44 122 222 177 239 118
10 2403 6 1 0 0 0 0 18 98 1976 619 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
11 2 2 1 2 0 0 0 0 1 2 0 0 0 0 29 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 4 14 139 0 0 0 5 89 0
12 4 11 7 0 0 0 0 0 0 0 10 2 0 5 0 18 4 20 6 3 14 19 50 22 28 0 0 0 14 2 7 0 0 7 0 0 0 0 0 0 0 0 0 0 5 2 0 0
13 6 80 26 13 4 0 1 0 39 13 14 54 85 43 10 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14 1 21 9 0 0 0 0 0 0 0 0 26 1 4 4 3 9 4 3 43 3 2 3 0 0 0 0 0 4 2 1 1 1 2 2 5 1 1 2 0 1 0 3 3 0 1 2 2
15 12 21 17 5 0 0 0 0 1 0 0 4 3 3 1 1 1 0 3 8 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 55 0 3 6 2 1 0 392 2 228 13 0 4045 4543 15 17 15 39 9 20 153 25 25 51 265 12 17 12 0 20 8 100 0 262 4 2 13 5 0 0 34 3 31 42 150 23 0 0
17 6 11 18 0 21 7 0 0 13 15 11 17 27 17 14 16 16 23 21 16 20 21 29 17 9 9 9 27 23 17 16 25 17 11 16 15 17 19 16 20 19 17 2 16 19 22 20 24
18 2 0 1 1 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 5 1 0 1 0 0 1 13 0 0 8 7 2 0 0 0 0 0 1 1 0 4 0 0 0 0 3
19 11 65 37 40 0 0 12 0 26 17 22 15 43 96 11 56 41 73 66 112 39 35 85 68 21 0 0 26 53 67 86 48 64 61 104 48 92 36 139 35 82 73 42 61 58 94 91 75
20 13 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22 62 291 22 47 37 0 0 97 271 623 525 724 411 321 529 197 856 1207 505 293 359 203 367 210 14 0 1 164 121 56 188 119 123 39 217 285 108 64 192 37 246 379 23 8 58 230 228 85
23 4 166 247 33 48 0 0 1 4 76 445 28 72 103 53 41 2 32 7 203 2 12 205 10 0 0 0 37 7 53 12 62 104 8 16 19 11 5 12 181 0 14 0 6 2 9 38 5
24 1 73 4 6 2 0 0 0 3 17 95 3 2 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0
25 12 45 11 31 5 0 0 18 78 55 73 124 32 16 28 23 27 67 81 111 62 16 17 24 2 0 1 26 19 44 50 34 31 29 63 44 52 105 15 30 18 28 5 14 19 36 68 30
26 5 3 3 0 0 0 0 8 30 18 0 7 0 0 0 0 0 32 0 0 0 0 1 1 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
27 9 18 10 8 14 0 0 13 100 49 51 31 76 26 35 36 12 65 30 9 9 1 6 17 4 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28 8 35 23 12 14 0 0 14 20 46 26 23 20 8 40 21 16 64 32 234 137 21 221 496 0 0 1 307 52 40 25 41 17 85 352 3 132 10 144 117 37 20 1 2 3 2 0 0
29 1 0 0 0 0 0 0 12 2 0 8 16 0 0 0 0 0 0 20 0 0 0 4 1 0 0 0 0 0 0 0 4 5 3 0 0 1 0 0 2 0 0 0 0 0 0 0 0
30 53 169 186 160 39 0 0 162 222 114 509 70 9 111 133 92 8 132 132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31 9 0 0 0 0 0 0 5 11 1416 1191 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
32 1 3 0 4 1 0 0 2 8 8 36 1 4 5 18 5 2 7 6 5 14 3 1 18 0 0 0 9 2 19 2 8 1 5 3 0 16 9 1 2 2 1 0 0 47 3 2 1
33 3 4 0 2 0 1 2 3 1 2 2 2 4 1 0 0 0 3 1 2 0 0 0 0 3 1 0 1 4 0 0 0 0 0 0 0 3 0 2 0 0 0 0 0 1 1 0 0
34 2 4 6 4 0 0 0 0 1 1 2 3 4 8 9 8 2 6 7 4 7 20 1 7 3 1 1 25 3 4 16 15 4 15 3 3 5 3 3 4 5 15 43 5 4 4 2 0
35 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
36 12 4 12 19 0 9 8 1 11 16 0 1 16 32 28 3 15 29 12 18 6 26 29 20 12 0 9 15 24 7 12 12 53 30 42 42 16 44 17 16 2 41 22 0 6 14 15 23
37 104 82 510 511 55 139 82 235 1052 991 0 1 360 656 163 10 252 406 1112 360 220 1046 1137 807 131 0 325 127 219 45 126 65 394 196 366 699 464 223 443 165 35 571 441 0 375 188 384 325
38 38 77 78 24 1 0 0 0 24 8 10 21 56 0 21 56 53 2272 655 3 0 4 0 1 0 0 0 0 0 2 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
39 23 675 10 43 0 23 22 10 23 14 33 66 39 33 45 23 5 45 15 55 55 62 34 44 24 8 27 30 32 17 49 39 38 29 41 40 35 20 41 32 41 29 92 140 29 37 18 25
40 6 0 22 31 0 0 0 0 71 0 0 0 0 0 3 1 8 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
41 1 0 0 2 4 0 0 1 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
42 93 384 332 441 201 145 105 382 476 478 302 391 413 533 344 192 555 563 421 303 514 812 557 673 344 157 302 509 293 177 243 224 165 262 216 229 174 220 196 326 227 177 253 235 204 250 280 294
43 -1 1 7 0 0 0 0 2 2 2 0 1 2 0 2 0 0 1 26 29 6 0 0 8 0 0 0 1 8 17 114 23 2 0 1 1 0 0 1 0 4 14 1 2 0 405 29 8
44 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 7 2 4 1 5 2 5 1 10 1 0 1 2 0 3 5 4 4 3 1 17 1 0 0 4 4 1 4 2 1 1 1 1
45 115 406 474 626 319 118 161 573 430 457 577 598 492 593 486 243 728 509 223 13 33 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
46 2 30 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
47 4 24 17 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6 0 0 0 0 0 0 0 0 0 0 0
48 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
49 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
50 107 3 38 0 0 0 0 0 34 261 50 93 623 530 237 383 1331 900 863 853 19 0 16 12 4 0 9 10 0 0 0 1 144 12 40 18 408 171 55 113 142 694 219 661 118 148 453 0
51 2347 1476 2828 23 1 0 0 1 6 0 10 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 4 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
52 13 25 0 0 0 0 0 1 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
53 10 24 48 88 0 0 0 53 35 59 52 44 25 25 18 53 24 70 58 28 37 52 39 107 42 7 25 54 26 22 17 10 47 8 83 116 18 6 10 84 82 57 17 163 47 83 4 34
