Dados,Model,window,Qtd obj,Accuracy,auc_roc,f1_score,f_beta_2,Precision,Recall,P,N,TP,FP,FN,TN,rcs ml,rcs always hot,rcs always warm,rcs opt,cost ml,cost always hot,cost always warm,cost opt
pop,Online,0,236.0,0.7330508474576272,0.6109246666077894,0.8273972602739726,0.8658256880733946,0.7704081632653061,0.893491124260355,169.0,67.0,151.0,45.0,18.0,22.0,0.0,-0.017752019668412704,-234.5117025824349,0.0,1.3379740858070477,1.361725828094121,315.10855495959464,1.3379740858070477,1.3379740858070477
pop,Always Hot,0,236.0,0.7161016949152542,0.5,0.8345679012345679,0.9265350877192983,0.7161016949152542,1.0,169.0,67.0,169.0,67.0,0.0,0.0,-0.017752019668412704,-0.017752019668412704,-234.5117025824349,0.0,1.361725828094121,1.361725828094121,315.10855495959464,1.3379740858070477,1.3379740858070477
pop,Always Warm,0,236.0,0.2838983050847458,0.5,0.0,0.0,0.0,0.0,169.0,67.0,0.0,0.0,169.0,67.0,-234.5117025824349,-0.017752019668412704,-234.5117025824349,0.0,315.10855495959464,1.361725828094121,315.10855495959464,1.3379740858070477,1.3379740858070477
pop,SVMR,0,236.0,0.711864406779661,0.5015455268038507,0.8308457711442786,0.9185918591859186,0.7167381974248928,0.9881656804733728,169.0,67.0,167.0,66.0,2.0,1.0,-0.34097074915720066,-0.017752019668412704,-234.5117025824349,0.0,1.7941841121975974,1.361725828094121,315.10855495959464,1.3379740858070477,1.3379740858070477
pop,Online,1,553.0,0.7233273056057866,0.7174446046938509,0.7605633802816901,0.805168986083499,0.6962750716332379,0.8379310344827586,290.0,263.0,243.0,106.0,47.0,157.0,0.0,-0.06545421665343555,-147.7647287581825,0.0,2.4844648063177655,2.6470835040183243,369.60073302111283,2.4844648063177655,2.4844648063177655
pop,Always Hot,1,553.0,0.5244122965641953,0.5,0.6880189798339265,0.8464681844716871,0.5244122965641953,1.0,290.0,263.0,290.0,263.0,0.0,0.0,-0.06545421665343555,-0.06545421665343555,-147.7647287581825,0.0,2.6470835040183243,2.6470835040183243,369.60073302111283,2.4844648063177655,2.4844648063177655
pop,Always Warm,1,553.0,0.4755877034358047,0.5,0.0,0.0,0.0,0.0,290.0,263.0,0.0,0.0,290.0,263.0,-147.7647287581825,-0.06545421665343555,-147.7647287581825,0.0,369.60073302111283,2.6470835040183243,369.60073302111283,2.4844648063177655,2.4844648063177655
pop,SVMR,1,553.0,0.7124773960216998,0.7140028844893143,0.7135135135135136,0.6947368421052632,0.7471698113207547,0.6827586206896552,290.0,263.0,198.0,67.0,92.0,196.0,-0.049903309558376775,-0.06545421665343555,-147.7647287581825,0.0,2.6084478226343335,2.6470835040183243,369.60073302111283,2.4844648063177655,2.4844648063177655
pop,Online,2,700.0,0.6842857142857143,0.7218878825264045,0.5930018416206262,0.706140350877193,0.4680232558139535,0.8090452261306532,199.0,501.0,161.0,183.0,38.0,318.0,0.0,-0.1749209179356684,-126.78527205692869,0.0,3.6729686086678734,4.315447649244953,469.3512929151831,3.6729686086678734,3.6729686086678734
pop,Always Hot,2,700.0,0.2842857142857143,0.5,0.44271412680756395,0.6651069518716578,0.2842857142857143,1.0,199.0,501.0,199.0,501.0,0.0,0.0,-0.1749209179356684,-0.1749209179356684,-126.78527205692869,0.0,4.315447649244953,4.315447649244953,469.3512929151831,3.6729686086678734,3.6729686086678734
pop,Always Warm,2,700.0,0.7157142857142857,0.5,0.0,0.0,0.0,0.0,199.0,501.0,0.0,0.0,199.0,501.0,-126.78527205692869,-0.1749209179356684,-126.78527205692869,0.0,469.3512929151831,4.315447649244953,469.3512929151831,3.6729686086678734,3.6729686086678734
pop,SVMR,2,700.0,0.7671428571428571,0.7252479964693728,0.6053268765133172,0.6188118811881188,0.5841121495327103,0.628140703517588,199.0,501.0,125.0,89.0,74.0,412.0,-0.4363947628455372,-0.1749209179356684,-126.78527205692869,0.0,5.275832873586593,4.315447649244953,469.3512929151831,3.6729686086678734,3.6729686086678734
pop,Online,3,788.0,0.7347715736040609,0.6637708052181737,0.36085626911314983,0.4616588419405321,0.2645739910313901,0.5673076923076923,104.0,684.0,59.0,164.0,45.0,520.0,0.0,-0.22401240390772548,-16.94085924281047,0.0,4.542457339387701,5.56002412763223,81.49558774242608,4.542457339387701,4.542457339387701
pop,Always Hot,3,788.0,0.1319796954314721,0.5,0.23318385650224216,0.4318936877076412,0.1319796954314721,1.0,104.0,684.0,104.0,684.0,0.0,0.0,-0.22401240390772548,-0.22401240390772548,-16.94085924281047,0.0,5.56002412763223,5.56002412763223,81.49558774242608,4.542457339387701,4.542457339387701
pop,Always Warm,3,788.0,0.868020304568528,0.5,0.0,0.0,0.0,0.0,104.0,684.0,0.0,0.0,104.0,684.0,-16.94085924281047,-0.22401240390772548,-16.94085924281047,0.0,81.49558774242608,5.56002412763223,81.49558774242608,4.542457339387701,4.542457339387701
pop,SVMR,3,788.0,0.8451776649746193,0.6417566351776878,0.3838383838383838,0.37254901960784315,0.40425531914893614,0.36538461538461536,104.0,684.0,38.0,56.0,66.0,628.0,-3.8717317294564775,-0.22401240390772548,-16.94085924281047,0.0,22.12963354999751,5.56002412763223,81.49558774242608,4.542457339387701,4.542457339387701
pop,Online,4,850.0,0.8247058823529412,0.6516385871573191,0.4419475655430712,0.4013605442176871,0.5315315315315315,0.3782051282051282,156.0,694.0,59.0,52.0,97.0,642.0,0.0,-0.43961984015156313,-9.321222363217446,0.0,4.13146670228602,5.947741433536506,42.6417865205227,4.13146670228602,4.13146670228602
pop,Always Hot,4,850.0,0.18352941176470589,0.5,0.3101391650099404,0.5291723202170964,0.18352941176470589,1.0,156.0,694.0,156.0,694.0,0.0,0.0,-0.43961984015156313,-0.43961984015156313,-9.321222363217446,0.0,5.947741433536506,5.947741433536506,42.6417865205227,4.13146670228602,4.13146670228602
pop,Always Warm,4,850.0,0.8164705882352942,0.5,0.0,0.0,0.0,0.0,156.0,694.0,0.0,0.0,156.0,694.0,-9.321222363217446,-0.43961984015156313,-9.321222363217446,0.0,42.6417865205227,5.947741433536506,42.6417865205227,4.13146670228602,4.13146670228602
pop,SVMR,4,850.0,0.82,0.5121000517254118,0.049689440993788817,0.03179650238473768,0.8,0.02564102564102564,156.0,694.0,4.0,1.0,152.0,693.0,-8.947426500626914,-0.43961984015156313,-9.321222363217446,0.0,41.09746136077764,5.947741433536506,42.6417865205227,4.13146670228602,4.13146670228602
pop,Online,5,872.0,0.7121559633027523,0.6405025409373235,0.48459958932238195,0.4060564349621473,0.7151515151515152,0.36645962732919257,322.0,550.0,118.0,47.0,204.0,503.0,0.0,-0.33181776744748437,-17.47177260639057,0.0,4.955494449846733,6.599815554793276,91.5367666297994,4.955494449846733,4.955494449846733
